interval_from,interval_to,hcho_B0_min,hcho_B0_max,hcho_B0_mean,hcho_B0_stDev,hcho_B0_sampleCount,hcho_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2022-08-01,2022-09-01,-0.00018611007544677705,0.0006235650507733226,0.00015331585723609985,0.0001459530836848677,65536,60235,NUTS_SL_01m_2024.shp,SI0,2022,August,8
2022-09-01,2022-10-01,-0.0002374681062065065,0.0004125599516555667,6.509710980368434e-05,0.00013291993516453422,65536,59525,NUTS_SL_01m_2024.shp,SI0,2022,September,9
2022-10-01,2022-11-01,-0.0004462014767341316,0.0005944620352238417,4.070369706232239e-05,0.00016649265383750114,65536,35135,NUTS_SL_01m_2024.shp,SI0,2022,October,10
2022-12-01,2023-01-01,-0.000564084853976965,0.0006251985323615372,3.8896508437465397e-05,0.00019576451655137065,65536,42151,NUTS_SL_01m_2024.shp,SI0,2022,December,12
2023-01-01,2023-02-01,-0.0003797114477492869,0.00045253781718201935,2.3352500344524953e-05,0.00014784423874739905,65536,55689,NUTS_SL_01m_2024.shp,SI0,2023,January,1
2023-02-01,2023-03-01,-0.0002954931405838579,0.0003723176778294146,5.294843494122406e-05,0.00013543209425623194,65536,62009,NUTS_SL_01m_2024.shp,SI0,2023,February,2
2023-03-01,2023-04-01,-0.00025654907221905887,0.00023501126270275563,-3.912704748463778e-05,0.00015385590353715094,65536,65227,NUTS_SL_01m_2024.shp,SI0,2023,March,3
2023-04-01,2023-05-01,-0.00017281682812608778,0.00019801026792265475,2.1160819721617106e-05,6.2847260531581e-05,65536,58286,NUTS_SL_01m_2024.shp,SI0,2023,April,4
2023-05-01,2023-06-01,-4.3462758185341954e-05,0.00017416093032807112,4.6005564744216246e-05,4.4611431833380615e-05,65536,63525,NUTS_SL_01m_2024.shp,SI0,2023,May,5
2023-06-01,2023-07-01,-0.00024094764376059175,0.0005243039922788739,0.00014382801145304173,0.00013072596639432206,65536,33760,NUTS_SL_01m_2024.shp,SI0,2023,June,6
2023-07-01,2023-08-01,-0.0004123173130210489,0.0005974090308882296,6.171135869585613e-05,0.00012567700223350872,65536,46943,NUTS_SL_01m_2024.shp,SI0,2023,July,7
2023-08-01,2023-09-01,-0.00024399480025749654,0.0004544468247331679,5.1246339688385415e-05,0.0001164327962852951,65536,48205,NUTS_SL_01m_2024.shp,SI0,2023,August,8
2023-09-01,2023-10-01,-0.0003371672355569899,0.0005396261694841087,0.00013810366795324747,0.00015158665509549794,65536,53329,NUTS_SL_01m_2024.shp,SI0,2023,September,9
2023-10-01,2023-11-01,-0.00038542388938367367,0.0007062139920890331,4.9891235620808076e-05,0.00017968845818348405,65536,55703,NUTS_SL_01m_2024.shp,SI0,2023,October,10
2023-12-01,2024-01-01,-0.00027089816285297275,0.0005230653332546353,0.00010359955105084708,0.00025109975023587897,65536,64284,NUTS_SL_01m_2024.shp,SI0,2023,December,12
2024-01-01,2024-02-01,-0.0005944140139035881,0.0006162170902825892,2.5614877751070177e-05,0.00021355320220510285,65536,53981,NUTS_SL_01m_2024.shp,SI0,2024,January,1
2024-02-01,2024-03-01,-0.0003680406662169844,0.0003433933015912771,5.244906596994875e-05,0.00013768337877908586,65536,63572,NUTS_SL_01m_2024.shp,SI0,2024,February,2
2024-03-01,2024-04-01,-0.0002982146106660366,0.00028199885855428874,-3.183980552398122e-06,0.00011087665749268473,65536,63975,NUTS_SL_01m_2024.shp,SI0,2024,March,3
2024-04-01,2024-05-01,-0.0004504317475948483,0.0005688544479198754,8.12848668525223e-05,0.00014390105840037722,65536,32151,NUTS_SL_01m_2024.shp,SI0,2024,April,4
2024-05-01,2024-06-01,-0.0002658585144672543,0.0006942590698599815,7.340412396669577e-05,0.00011991292549204463,65536,59127,NUTS_SL_01m_2024.shp,SI0,2024,May,5
2024-06-01,2024-07-01,-0.00023293525737244636,0.00045670708641409874,0.00011713830126292246,0.00011304388453524484,65536,44025,NUTS_SL_01m_2024.shp,SI0,2024,June,6
2024-07-01,2024-08-01,-0.0003031336236745119,0.0005693003186024725,0.0001236038698946265,0.00013213404394062068,65536,31731,NUTS_SL_01m_2024.shp,SI0,2024,July,7
2024-08-01,2024-09-01,-0.0003209393471479416,0.0006752462941221893,0.00016124901676997002,0.00014979074866612268,65536,33797,NUTS_SL_01m_2024.shp,SI0,2024,August,8
2024-09-01,2024-10-01,-0.000791431637480855,0.0007158081862144172,5.458848205111845e-05,0.00019002138358164194,65536,32430,NUTS_SL_01m_2024.shp,SI0,2024,September,9
2024-10-01,2024-11-01,-0.0005540477577596903,0.0007031976711004972,8.351463236843567e-05,0.00018944723966801065,65536,35985,NUTS_SL_01m_2024.shp,SI0,2024,October,10
2024-11-01,2024-12-01,-0.0004545924311969429,0.0010147414868697524,0.00011173268808749671,0.00023665930766104482,65536,39496,NUTS_SL_01m_2024.shp,SI0,2024,November,11
2024-12-01,2025-01-01,-0.0004746151971630752,0.0008133951341733336,0.00011980139332972213,0.00022655630338511685,65536,52135,NUTS_SL_01m_2024.shp,SI0,2024,December,12
2018-04-01,2018-05-01,9.745383431436494e-05,0.0011386455735191703,0.0004762964296653308,0.00020217812768209064,65536,47361,NUTS_SL_01m_2024.shp,SI03,2018,April,4
2018-05-01,2018-06-01,-0.00017997188842855394,0.0008560881833545864,0.00012818400258080416,0.00011234365431776081,65536,47952,NUTS_SL_01m_2024.shp,SI03,2018,May,5
2018-06-01,2018-07-01,-0.00025429893867112696,0.0004002113710157573,0.00010567592798933602,0.00010371299087189378,65536,52333,NUTS_SL_01m_2024.shp,SI03,2018,June,6
2018-07-01,2018-08-01,-0.00011874909250764176,0.0003843159938696772,0.00011873293590029119,7.808563389790396e-05,65536,39501,NUTS_SL_01m_2024.shp,SI03,2018,July,7
